,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Name,Review,TextBlob_Subjectivity,TextBlob_Polarity,flair_sentiment,Vader,sentiment_dict_sompound
0,0,0,0,Soumalya Goswami,"
Absolutely Fantabulas



  First things first!!!!! The no-1 TV Stick in Indian Market...This 3rd Generation Fire TV stick has a superb build quality. The remote has a premium look & feels great in hand. The set-up with TV is just seamless. For normal size TV the HDMI extension cord is not required. If you require, it is inside the box, so not to worry :-)Now coming to the streaming quality. It is wow wow wow.. Dolby Sound quality gives a surround feeling & is great (I have tried this with my Sony 5.1 sound system though). You need to install the apps you want watch, like Hotstar, Zee5, Voot, Disney+, Hoichoi etc etc. etc. The Overall experience with these apps  are really cool. The newly introduced Live section seamlessly connect to LIVE channels via the installed apps.In the Verdict I will suggest if you want to convert your TV in a full house of entertainment & cool features, then you go blindly for this. Its the ultimate TV stick for you.

",0.5726107226107227,1.0,1,1,0.9913
1,1,1,1,Tarun,"
Bad customer service



  These amazon ppl are waste. My detailed product review was deleted, and no explanation is being given even when I repeatedly asked. I bought this fire stick 3 times.I have been a loyal amazon customer since a long time, did not expect this kind of degraded level of customer care.

",0.5916666666666667,0.0,0,0,-0.6851
2,2,2,2,Aman verma,"
Dolbyatmos sound quality & Premium quality Remote



  The all new amazon fire tv stick is amazing. Great build quality,remote feels premium.stream quality is excellent. Alexa voice recognitions works well too. I really liked the new dolby atmos sound quality.

",0.5954545454545455,1.0,1,1,0.9441
3,3,3,3,sai vikranth,"
Loved it






                    The media could not be loaded.
                




   My first tv stick, seamless setup, wifi Bluetooth are working superb, quality and Speed is awesome with ACT connection. Loved it, made my non smart tv to smart tv

",0.6648809523809525,1.0,1,1,0.9698
4,4,4,4, kushal kumar,"
NOT supporting to SONY TV'S



  I am useing Sony bx32 modal tv(2012) it have 2 HDMI Port . But fire tv stick is not supporting to my tv, not working properly & getting display issues. so don't buy for Sony TV's

",0.19999999999999998,0.0,0,0,-0.7853
5,5,5,5,Sanjay T.,"
Does NOT work and Amazon cannot fix it



  This is the 4th time I have ordered the firestick.It simply does not work.gets stuck on updating the stick and NOTHING happens.Very disappointing that Amazon support team is not able to offer any solution except asking me to return it that I have done 4 times already.

",0.5607142857142857,0.0,0,1,0.8201
6,6,6,6,Ishpreet Singh,"
Working good but disappointed with price drop



  Everything is great but i bought it for 3999/- and after 2 days price was 3199/- which hurts me alot 800/- rs loss. Being a prime customer i am very unhappy with the massive price drop.

",0.82,0.0,0,0,-0.92
7,7,7,7,S Sathya Kumar,"
Very Worst, total money waste.



  The Fire TV Stick is not connecting to wifi automatically when powered on.Everytime I've to power off the fire TV stick and then restart it.@amazon this product is useless...Very worst.

",0.6875,0.0,0,0,-0.9466
8,8,8,8,Sudharsan A,"
Worst remote ever... Replacement of remote is too costly



  Product works well upto 1year... Then u need to buy new one only... No choice because.... I bought this product for Rs. 2799 in offer after a year my remote stopped working, if you put new battery it will dry in 3 days itself.. so I want to buy new remote....  New remote only cost Rs. 2000... It's a cheating .... Other brand like mi gives cheaper remote...

",0.4662121212121212,0.0,0,0,-0.7918
9,9,9,9,Priyank Agrawal,"
Not compatible with my Sony LED TV



  There is no customer support or details available on which TVs it is not compatible with. And guess what it is not returnable as well, got my 4000 bucks wasted. I bought this after watching so many positive reviews but feel so sad now about this

",0.4890909090909091,0.0,0,0,-0.8309
10,10,10,10,Pradeep handa,"
Best streaming device in this price 2500






                    The media could not be loaded.
                




   The system ui interface  totally changed,Grey Icon(missing icon) on side loaded apps""See All"" tab MissingUpdate didn't fix anything...I thought I've got a defective product tried replacingBut Amazon didn't respondI've used my friend's fire stick and I know his firestick doesn't have these issues almost used it for a month and didn't face any problem hence I proceeded to buy one for myself but I'm disappointed got a defective product or the softwareMore disappointing thing is I can't even Replace it wow.

",0.7,0.0,0,0,-0.7328
11,11,11,11,Jayant Kawale,"
The product is not working



  The product is not working properly. At the moment there is no sound and the screen goes suddenly blank from time to time

",0.16666666666666666,0.0,0,0,-0.296
12,12,12,12,Adi,"
You cannot control volume of your Bluetooth device



  It is a really good streaming device . Apps work perfectly fine . You can sideload 3rd party app easily . Remote is fine , voice control is perfect , installation is simple , streaming quality is great.BUT WHY 1 STAR??you cannot change the volume in your Bluetooth headset or airpods which don't have its own volume control . Well i usually watch movies at night while others are sleeping so I prefer using Bluetooth headsets . Whenever I pair it with firestick It always plays at 100 percent and makes my eardrum tear and made me switch off tvThis is a basic function which can be included in a firmware upgrade , but as of 30th June , there is no update regarding this .So yes if this is important for you , u choose other streaming device .Btw i fall in love with their remote😍

",0.5005494505494504,1.0,0,1,0.9765
13,13,13,13,Radhakrishnan S,"
Product not functioning



  I purchased the product in May 2021. It stopped functioning within one month. I requested for an replacement. The customer service execute informed me to buy another Fire Stick and will replace the one one once I purchased a new one. It is more than a week I bought a new fire stick and also informed the CC. Unfortunately there is no feedback from them. The old product was not replaced. Is it a punishment for me to buy your product and I have to pay for a faulty product. Please expedite.

",0.5218181818181818,0.0,0,0,-0.9169
14,14,14,14,GSV,"
Fairly good needs lot of tinkering



  Connected my airpods to firestick. And the volume doesn't work. Sound is too loud on the ears. Volume decrease on the remote doesn't reduce the volume in the BT airpods. Result sound too loud and jarring. It is shocking that a company of the calibre of Amazon can produce such ridiculous product. High time they come down from their perch of lord and mighty and think of ideas to give customer satisfaction. And on the upside I must say everything else is real good about this firestick

",0.6406837606837607,1.0,0,1,0.6369
15,15,15,15,Magesh S G,"
Excellent Streaming Device with Picture and Sound Quality



  I was using LG 4K TV with WebOs 3 and i dont have recent streaming apps as it not available in my smart TVI have ordered HD Firestick 2021.My TV Supports HDR ...I would have ordered 4K but for me itseems costly..Pro:Super UIFast SettingsHDR !!Dolby Digital Plus ,Dolby audio as my TV supports only this.Connected with Yamaha AV receiver and i could able to get DD+ 7.1 from Dolby Atmos Content in amazon Prime.Sound Quality is awesome...Picture quality was fabulous as my TV supports HDR and ultra deep colour it detects and restarts tv to enable in that HDMI port...The moment i have turned on it install latest Fire Stick SWCons:Not for Device.I have logged in with my amazon account in FireTV.I could not get install the Disney+Hotstar its shows app is not availableThen i have called customer care and they helped to set my country to IN in account as i used same account in Germany(.de) as wellAfter that all india streaming apps are visibkle (voot,Hotstar+disney,SunNxt,...etc)Overall happy with purschase will update after few days of usuage!!!

",0.5602040816326531,1.0,1,1,0.981
16,16,16,16,siddesh Attavar,"
Stuck in a Boot Loop with Fire TV logo animation



  Had a bad experience with purchase, as the device got stuck in a boot loop just kept showing the firetv logo animation. Have to return it back

",0.3333333333333333,0.0,0,0,-0.836
17,17,17,17,Suryatej,"
Made in China



  In the product description it says 'Made in India' but on the package box it says that it is from China .This is very misleading

",0.3,1.0,0,0,-0.611
