,Name,Review,Sug/Com,flair_sentiment
0,pavan kumar saini,"Thankyou #Robert T.Kiyosaki #RICH DAD POOR DAD
The media could not be loaded.
 Book mujhe pashand aayi hai. mujhe esse bahut kuch sikhne ko mila hai. Ye story bahut jyada motivation hai.aaj ki generation ke liye ye achche din ki tarah hai. Robert T.kiyosaki ka dhanybad karna chahta hu . Aapki book ne sahi raste ka chayan karne m help kri . M bahut dino se chintit tha ki lekin mene sahi rasta choose kar liya hai , thanks #RICH DAD POOR DAD",1,0
1,saurabh pareek,"USEFUL Book For Younger
# ये पुस्तक उन सभी युवा वर्ग के लोगों के लिए उपयोगी है जो स्वयं का स्टार्ट-अप (व्यापार) शुरू करना चाहते हैं।# इस पुस्तक के माध्यम से व्यक्ती को रुपयों का सही जगह निवेश करने के बारे मे जानकारी मिलती है।# ये पुस्तक उन सभी विद्यार्थियों को पढ़नी चाहिए जो वाणिज्य वर्ग के विद्यार्थी नहीं है।# मैं रिच डैड पुअर डैड पुस्तक से बहुत प्रभावित हुआ हूं।",1,1
2,KISHOR YADAV,"Its a powerful financial book written by Robert T. Kiyosaki.
The media could not be loaded.
 Friends books ko read karna bohot hi achhi bat hai. Isse hamari knowledge bhi increase hoti hai and hum books ko read karke motivate bhi rehte hai kisi bhi kam ko lekar because is book me har type ke financial problem ka solution milta hai. That's all &Thanks for read my rewiew",1,1
3,Nishant,"Dimaag khol diya Re🥰
Mene apni reading habit ko banane ke liye sabse pehle is book ko chuna tha.sach me after read this dimaag khul gya .or ab itna interesting lagta he ki 1 week me 1 book read kar leta hoon.Btw thanks to all.",1,1
4,Hitendra Kumar Gupta,"शानदार किताब
अभी तक की सेल्फ हेल्प पर सबसे बढ़िया किताब. इस किताब को पढ़कर लगा कि इसे पहले क्यों नहीं पढ़ा। आंखे खोल देती है यह किताब। सभी युवाओं को जरूर पढ़नी चाहिए यह किताब",1,1
5,M N Ansari,"""कम समय में ज्यादा ज्ञान""
मैंने इस किताब को इसलिए चुना उसे मै जानना चाहता था,कि ....अमीर लोग अमीर कैसे बनते हैं,और ...मुझे इसका बहुत_बहुत फायदा हुआ,इस किताब को पढ़ने के बाद, मैं भी अमीर वाली फीलिंग कर रहा हूं!!",1,1
6,shreesaiinternational,"SUPERB BOOK
छोटे छे लेके बड़े हर कोई इंसान को ऐ बुक रीड करनी चाहिए आप को आप की मंजिल तक पोच ने में ऐ बुक बहुत ही काम आये गई",1,1
7,Shakir Husain,"What a book
Ye ek bahut acchi book hai jo bhi is book ko kharidane ke bare main soch raha hai bo ye dekh le ki is book pr Manjul publication ka hologram logo jarur ho nahi to ye ek fake book ho sakti hai",1,0
8,KEDAR NATH SAHU,"Bad pakaging
The media could not be loaded.
 book lene ki salah to sabko deta hu par diler ki paking bahut ghatiya hai",0,0
9,Sandeep,"Acchi book Hai yah
Yah bahut hi acche book Hai jisse Ham apni aur apne bacchon ki life Sudhar sakte hain rupaye ko paise invest karna Kaise usko Sahi Raste per kam karna",1,1
10,sumit,"Rich dad poor dad book review
बुक की क्वालिटी बहुत बेकार है बहुत बेकार कागज का उपयोग किया गया है बुक का वजन फोन से भी बहुत ज्यादा हल्का है पेज बदलते हुए ऐसा लगता है कहीं फट ना जाए 😒",0,0
11,Ramakant p.,"यह पुस्तक हमे बताती है कि पैसा कैसे बनाते हैं
यह पुस्तक हमे अमीर और गरीब की सोच के बारे में बहुत अच्छे से समझाती है। किस तरह अमीर और अमीर होते जाते हैं और किस तरह गरीब और गरीब होते जाते हैं",1,1
12,Immi,"Atleast एक बार ये बुक सबको पढ़नी चाहिए।
सभी Teenagers को ये बुक पढ़नी ही चाहिए।Mind-blowing BookI can't explain the lessons and fruitful knowledge of this book in words.",1,0
13,Amazon Customer,"हिंदी एडिशन की बुक मंगाई गई अमेज़न के द्वारा मराठी एडिशन की बुक डिलीवर की गई
हिंदी एडिशन की बुक मंगाई गई लेकिन अमेजन के द्वारा मराठी एडिशन की बुक डिलीवर की गई",0,1
14,Sunil c.,"Good book's
Maine yah book finance ke financial ke liye chuj ki",1,1
15,anupam,"किसी द्वारा पढ़ी हुई पुस्तक भेजी गये, बुक मे जगह-जगह pen चलाया हुआ है।
किसी द्वारा पढ़ी हुई पुस्तक भेजी गये, बुक मे जगह-जगह pen चलाया हुआ है। पन्ने मोडी हुए हैं।",0,1
16,Anchal,"Nice book
बहुत अच्छी किताब हैं",1,1
17,Amazon Customer,"Good book
Yah book bahut hi achi he finance market ke bare me batane ke lia jo ki college me nahi sikaya jatha heVery good book",1,1
18,Ravindra jogi,"Jabardast book
Nice product",1,1
19,Makwana dharmesh,"Best selling book hai
Bahot achi book hai aapki thinking ko badalne wali hai rupee ko leke",1,1
20,@Bhi,"Jaroor Padein
Shandaar kitaab, jaisa padha Amazon pe description, waisa hi paya.Antar sirf itna hai ki Details me 320 pages btaya hai lekin surf 308 pages hi hain.",1,1
21,Sudhanshu,"This book change my life ❤️❤️❤️
Lolo bhai dekh rhe ho to bahut hi kaam ki book hai ,🔥🔥",1,1
22,Kamlesh v.,"Very nice book ye apki puri sich badal
Ye book jarur pade ye m is book ko 2 bar pad lene ke baad bol r hun . Very nice book ye apki puri sich badal dega",1,1
23,Ravi Sharma,"good
बहुत बढ़िया किताब है मज़ा आ गया पढ़ने में",1,1
24,SHIVA SINGH,"बहुत अच्छी
बहुत अच्छी किताब है कुछ आर्थिक परिस्थितियों को सीखने के लिए जरूर पढ़े ।",1,1
25,Akshay Arke,"All time best book
Plase buy this book , bhai 100 % Apke kam ayegi.",1,1
26,Pradeep Yadav,"You can buy👍
इसके बारे मे क्या कहना आपने तो सुना ही होगा।Literally that's really good.",1,1
27,Pooja verma,"Amazing book. Kash mujhe pahle iske baare m padha ...
Shyad he koyi book mene pure mnn se padhi ho jaise iss book ko 2din main pura kia. Amazing book. Kash mujhe pahle iske baare m padha hota.",1,1
28,Arjun kumar,"अविस्मरणीय।
इस पुस्तक के लिए बस इतना ही,अनमोल तोहफा है।",1,1
29,Isteyak alam,"Very nice book
मेरे जीवन का ये पहला बाहरी किताब पढ़ रहा हूं तोड़ा पढ़ के अनुभव अच्छा रहा",1,1
30,vikas kashyap,"किताब मुझे नही मिली, और अब प्राइस बढ़ गए हे.
किताब मुझे नही मिली अब प्राइस बढ़ गई।",0,1
31,Yogesh Dawar,"पैसे के काम मत करो, पैसे से अपने लिए काम करवाओ।
पुस्तक में सरल भाषा का उपयोग किया गया है जो समझने के लिए काफी आसान है।",1,1
32,Vilas Jagannath Gejage,"Motivation Books...
Super Books ""Rich Dad & Poor Dad""Motivation books...Life Changes...Sach mai Rich Dad & Poor Dad kitab bhut hi acchi hai..",1,1
33,Ashish kushwah,"kuch khas nhi hai you tube pr hi eski videos dekh lo vahi sahi h
page quality is not gud",0,0
34,sunil sharma,"Best book forever
हर एक को ये बुक जरूर पड़नी चाहिए,",1,1
35,Ravi Ranjan Kumar,"Shandar book
Bacho ke liye kafi acha margdarshan",1,1
36,Anil Kumar,"Bahut hi ghatiya paper quality hai thu thu
Bahut ghatiya quality ka paper hai",0,1
37,Suraj Sharma,"Bahut sahi kitab hai
Amizing book",1,1
38,JAY PRAKASH,"किताबे नही डिलीवर हुई।
हमारी ५ किताबे ऑर्डर की गई । जो अभी तक नही पहुंची है। कृपया जानकारी दे।",0,1
39,JAGRAM CHOUDHARY,"Book is good
वित्तीय सहायता के लिए बहु अच्छी बुक हैं।",1,1
40,sourabh atre,"250/- mai karodo ka gyan mill Raha hai..😍
Master piece..",1,1
41,Rupesh kumar,"Nice book
गजब बुक",1,1
42,amrendrasingh,"Paise ke liye kaam karna aur paise se kaam karna
Bahut achchi Book hai",1,1
43,Chikun Danta,बोहोत कुछ सीख सेकते हैं इस बुक से,1,1
44,Munna Kumar Raman,"Bahut achha book hai...
👌👌👌👌👌",1,0
